Barcode,Item,Description,Weight,Unit,BrandName,SupplierCompanyName,Country Name,LastSalePrice,PriceLimit,AgreedPrice,Quantity,Deadline,LocationStoreName,Comments,CustomerName,ClientInformation
151,656546546,,,5,,,,,,,5,,,,,ClientInformation
152,2121313,,,5,,,,,,,5,,,,,ClientInformation
153,231312,,,5,,,,,,,5,,,,,ClientInformation
154,12,,,5,,,,,,,5,,,,,ClientInformation
155,321,,,5,,,,,,,5,,,,,ClientInformation
156,123213,,,5,,,,,,,5,,,,,ClientInformation
157,12312,,,5,,,,,,,5,,,,,
158,32131,,,5,,,,,,,5,,,,,
159,3213,,,5,,,,,,,5,,,,,
160,12213,,,5,,,,,,,5,,,,,
170,12213,,,5,,,,,,,5,,,,,
